TestLevelId;SystemUnixTimestamp;MilliSecondsSinceStart;ActionLatency;ActionType;Hand;PanelPage;DialogueOption;AutomaticOption;HintUse;ChoiceDuration;AnimationCode;AnimationStart;AnimationEnd;CursorOptionId;CursorDuration
1531;1,65599E+12;15793;15793;2;0;0;0;0;0;0;1;1,65599E+12;1,65599E+12;0;0
1531;1,65599E+12;19058;3265;1;2;1;0;0;0;0;0;0;0;2;144
1531;1,65599E+12;19580;522;1;2;1;0;0;0;0;0;0;0;1;477
1531;1,65599E+12;19847;267;1;2;1;0;0;0;0;0;0;0;2;211
1531;1,65599E+12;20002;156;1;2;1;0;0;0;0;0;0;0;1;110
1531;1,65599E+12;20147;144;1;2;1;0;0;0;0;0;0;0;1;44
1531;1,65599E+12;20180;33;1;2;1;0;0;0;0;0;0;0;2;10
1531;1,65599E+12;22490;2310;1;2;1;0;0;0;0;0;0;0;2;77
1531;1,65599E+12;22590;100;1;2;1;0;0;0;0;0;0;0;1;66
1531;1,65599E+12;23134;544;1;2;1;0;0;0;0;0;0;0;1;166
1531;1,65599E+12;23378;244;1;2;1;0;0;0;0;0;0;0;2;188
1531;1,65599E+12;23701;322;1;2;1;0;0;0;0;0;0;0;1;277
1531;1,65599E+12;23901;200;1;2;1;0;0;0;0;0;0;0;2;166
1531;1,65599E+12;25422;1521;1;2;1;2;0;0;9429;0;0;0;2;1277
34;1,65599E+12;41692;16270;2;0;0;0;0;0;0;3;1,65599E+12;1,65599E+12;0;0
34;1,65599E+12;49200;7508;1;2;3;0;0;0;0;0;0;0;4;188
34;1,65599E+12;49311;111;1;2;3;0;0;0;0;0;0;0;3;77
34;1,65599E+12;49400;89;1;2;3;0;0;0;0;0;0;0;2;1343
34;1,65599E+12;49533;133;1;2;3;0;0;0;0;0;0;0;1;100
34;1,65599E+12;51243;1710;1;2;3;1;0;0;9364;0;0;0;1;1554
34;1,65599E+12;78464;27221;2;0;0;0;0;0;0;4;1,65599E+12;1,65599E+12;0;0
34;1,65599E+12;84794;6331;1;2;4;0;0;0;0;0;0;0;2;77
34;1,65599E+12;84950;155;1;2;4;0;0;0;0;0;0;0;1;1687
34;1,65599E+12;85372;422;1;2;4;0;0;0;0;0;0;0;1;310
34;1,65599E+12;87593;2221;1;2;4;1;0;0;8929;0;0;0;1;2032
34;1,65599E+12;98954;11361;2;0;0;0;0;0;0;7;1,65599E+12;1,65599E+12;0;0
34;1,65599E+12;104319;5364;1;2;5;0;0;0;0;0;0;0;3;189
34;1,65599E+12;105718;1399;1;2;5;2;0;0;6565;0;0;0;2;1355
34;1,65599E+12;127608;21889;2;0;0;0;0;0;0;9;1,65599E+12;1,65599E+12;0;0
34;1,65599E+12;133183;5575;1;2;7;2;0;0;5376;0;0;0;2;2698
34;1,65599E+12;147887;14704;2;0;0;0;0;0;0;11;1,65599E+12;1,65599E+12;0;0
34;1,65599E+12;151397;3510;1;2;8;0;0;0;0;0;0;0;3;99
34;1,65599E+12;152718;1321;1;2;8;2;0;0;4631;0;0;0;2;3986
34;1,65599E+12;174474;21756;2;0;0;0;0;0;0;12;1,65599E+12;1,65599E+12;0;0
34;1,65599E+12;180372;5898;1;2;9;4;0;0;5696;0;0;0;4;1666
34;1,65599E+12;188301;7929;2;0;0;0;0;0;0;13;1,65599E+12;1,65599E+12;0;0
